"entry";"VolKCl/mL";"[Ag]/M";"[Ag]_0/M";"[Cl]zg/M";"[Cl]/M";"Kl/(M^2)";"VolTot/L";"mean_Kl/(M^2)";"standard_deviation_Kl"
"20";2.3;5.77e-06;0.001955;0.00225;0.000299021592179653;1.72e-09;0.1023;1.744e-09;9.61e-11
"21";2.4;4.17e-06;0.001953;0.00234;0.00039479219957373;1.65e-09;0.1024;1.744e-09;9.61e-11
"22";2.6;2.82e-06;0.001949;0.00253;0.000587615322882065;1.66e-09;0.1026;1.744e-09;9.61e-11
"23";3;1.9e-06;0.001942;0.00291;0.000972775168065334;1.85e-09;0.103;1.744e-09;9.61e-11
"24";3.2;1.58e-06;0.001938;0.0031;0.00116436916028822;1.84e-09;0.1032;1.744e-09;9.61e-11
