"DataPoint","VolKCl","Ag","Ag0V","Clzg","Kl","mean_Kl","standard_deviation_Kl"
"20",2.3,5.77e-06,1.955e-06,0.00225,1.31e-08,8.07e-09,3.34e-09
"21",2.4,4.17e-06,1.953e-06,0.00234,9.78e-09,,
"22",2.6,2.82e-06,1.949e-06,0.00253,7.15e-09,,
"23",3,1.9e-06,1.942e-06,0.00291,5.53e-09,,
"24",3.2,1.58e-06,1.938e-06,0.0031,4.9e-09,,
