"w_A";"VI_A";"m_Co_A";"p_Co_A";"m_g_Co_A"
"1";0.101;40.6;0.023926798;23.689899009901;0.00401980198019802
"2";0.0969;39.1;0.023042803;23.7799824561404;0.00403508771929825
"3";0.104;42;0.02475186;23.7998653846154;0.00403846153846154
