Volume;pH
0;2.92
1;3.23
2;3.46
3;3.62
4;3.75
5;3.85
6;3.94
7;4.02
8;4.10
9;4.16
10;4.21
11;4.28
12;4.33
13;4.38
15;4.49
17;4.59
19;4.67
20;4.74
21;4.79
23;4.89
25;5
27;5.12
29;5.28
30;5.35
32;5.56
32;5.56
33;5.71
33.7;5.82
34;5.93
34.1;5.96
34.2;5.97
34.3;5.99
34.4;6.03
34.6;6.09
34.8;6.15
35;6.28
35.2;6.37
35.4;6.53
35.6;6.71
35.8;7.18
35.9;7.38
36;8.77
36.1;9.41
36.2;9.92
36.3;10.19
36.4;10.29
36.5;10.44
36.6;10.57
36.8;10.73
40;10.85
40.5;11.06

