
Volume;pH;Color
0;12.68;p
2;12.63;p
3;12.60;p
4;12.56;p
5;12.54;p
6;12.50;p
7;12.47;p
8;12.43;p
9;12.40;p
10;12.35;p
11;12.32;p
12;12.27;p
13;12.22;p
14;12.15;p
15;12.09;p
16;12.02;p
17;11.94;p
18;11.85;p
18.5;11.77;p
19;11.71;p;
19.5;11.61;p
20;11.53;p
20.5;11.38;p
21;11.19;p
21.2;11.17;p
21.4;10.95;p
21.6;10.74;p
21.8;10.43;p
22;10.02;p
22.1;9.55;p
22.2;8.07;t
22.3;7.64;t
22.4;7.01;t
22.5;5.00;t
22.6;4.04;t
22.7;3.55;t
23;3.09;t
24;2.6;t
26.1;2.27;t
30;2.00;t


