"w_B";"VI_B";"m_Co_B";"p_Co_B";"m_g_Co_B"
"1";0.111;33.5;0.019742555;17.7860855855856;0.00301801801801802
"2";0.101;40.5;0.023867865;23.6315495049505;0.00400990099009901
"3";0.102;35.7;0.021039081;20.62655;0.0035
