1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
0;2.5;5;7.5;10;12;13;14;15;16;17;18;19;20;21;22;23;23.5;24;24.5;25;25.5;25.7;25.8;25.9;26;26.1;26.2;26.5;27;27.5;28;29
1.36;1.40;1.44;1.53;1.61;1.67;1.71;1.75;1.79;1.83;1.88;1.95;2.01;2.09;2.17;2.26;2.42;2.52;2.63;2.81;2.99;3.7;5.44;6.76;9.85;10.10;10.40;10.63;10.92;11.20;11.35;11.45;11.61
