V_KOH;pH_KOH;V0_KOH;V_HCL;pH_HCL;V0_HCL
10;7.08;10;0.1;7.08;0.1
11;7.17;;1;6.93;
12;7.26;;2;6.73;
13;7.32;;2.5;6.59;
14;7.39;;3;6.35;
15;7.45;;3.5;6.08;
16;7.5;;;;
17;7.55;;;;
18;7.6;;;;
19;7.64;;;;
20;7.68;;;;
21;7.72;;;;
22;7.76;;;;
23;7.8;;;;
24;7.83;;;;
25;7.87;;;;
26;7.9;;;;
27;7.93;;;;
28;7.97;;;;
29;7.99;;;;
30;8.02;;;;
31;8.05;;;;
32;8.09;;;;
