Volume;Voltage
0;206.8
0.2;206.5
0.4;204.2
0.6;197.8
0.8;194.3
1;188.2
1.2;183.5
1.4;177.3
1.5;172
1.6;166.8
1.7;158.4
1.8;149.4
1.9;135.3
2;96.9
2.04;79.9
2.12;51.6
2.2;42.9
2.24;37.3
2.28;33.5
2.3;33.7
2.4;24.8
2.6;14.1
3;3.3
3.2;-1.8
