V_KOH;pH_KOH;V0_KOH;V_HCL;pH_HCL;V0_HCL
5;6.97;5;3.5;6.97;3.5
6;7.01;;4;6.95;
7;7.03;;5;6.91;
8;7.06;;6;6.88;
9;7.09;;7;6.84;
10;7.12;;8;6.81;
11;7.16;;9;6.77;
12;7.19;;10;6.73;
13;7.22;;11;6.69;
14;7.25;;12;6.66;
15;7.29;;13;6.62;
16;7.32;;14;6.58;
17;7.36;;15;6.53;
18;7.4;;16;6.49;
19;7.44;;17;6.45;
20;7.48;;18;6.41;
21;7.52;;19;6.35;
22;7.57;;20;6.3;
23;7.62;;21;6.23;
24;7.67;;22;6.17;
25;7.73;;23;6.09;
26;7.79;;24;6.01;
27;7.86;;25;5.92;
28;7.94;;26;5.79;
29;8.02;;;;
